iso,country_name,membership_type
AFG,Afghanistan,Regional
ARM,Armenia,Regional
AUS,Australia,Regional
AZE,Azerbaijan,Regional
BGD,Bangladesh,Regional
BTN,Bhutan,Regional
BRN,Brunei Darussalam,Regional
KHM,Cambodia,Regional
CHN,China,Regional
COK,Cook Islands,Regional
FJI,Fiji,Regional
GEO,Georgia,Regional
HKG,Hong Kong,Regional
IND,India,Regional
IDN,Indonesia,Regional
JPN,Japan,Regional
KAZ,Kazakhstan,Regional
KIR,Kiribati,Regional
KGZ,Kyrgyzstan,Regional
LAO,Lao People's Democratic Republic,Regional
MYS,Malaysia,Regional
MDV,Maldives,Regional
MHL,Marshall Islands,Regional
FSM,"Micronesia, Federated States of",Regional
MNG,Mongolia,Regional
MMR,Myanmar,Regional
NRU,Nauru,Regional
NPL,Nepal,Regional
NZL,New Zealand,Regional
NIU,Niue,Regional
PAK,Pakistan,Regional
PLW,Palau,Regional
PNG,Papua New Guinea,Regional
PHL,Philippines,Regional
WSM,Samoa,Regional
SGP,Singapore,Regional
SLB,Solomon Islands,Regional
KOR,"Korea, Republic of",Regional
LKA,Sri Lanka,Regional
TWN,"Taiwan, Province of China",Regional
TJK,Tajikistan,Regional
THA,Thailand,Regional
TLS,Timor-Leste,Regional
TON,Tonga,Regional
TKM,Turkmenistan,Regional
TUV,Tuvalu,Regional
UZB,Uzbekistan,Regional
VUT,Vanuatu,Regional
VNM,Viet Nam,Regional
